id,host_id,neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,log_precios
23501,63318,44.31,40.83927,-73.94281,2,65,2,68,1,312,4.174387269895637
23686,93790,44.31,40.73096,-74.00319,1,500,4,46,2,243,6.214608098422191
24143,97219,41.11,40.71332,-73.94177,2,101,3,335,1,152,4.61512051684126
24285,97797,41.11,40.66941,-73.98109,1,220,30,88,1,9,5.393627546352362
25235,87773,41.11,40.68373,-73.92377,1,125,90,162,2,137,4.8283137373023015
25406,105538,41.11,40.71459,-73.94844,1,80,30,29,1,222,4.382026634673881
25696,107628,44.31,40.8092,-73.94421,2,100,2,170,1,346,4.605170185988092
26012,109589,41.11,40.68157,-73.98989,1,200,30,19,1,208,5.298317366548036
26362,59734,44.31,40.75527,-73.99291,2,59,2,334,2,279,4.07753744390572
26520,51038,41.11,40.68698,-73.96572,2,125,2,19,6,250,4.8283137373023015
26559,112793,44.31,40.7288,-73.98192,1,140,7,12,1,164,4.941642422609304
26785,42273,41.11,40.66853,-73.98912,1,120,30,467,2,192,4.787491742782046
26933,72062,44.31,40.7254,-73.98157,1,350,2,7,4,298,5.857933154483459
26954,115157,44.31,40.74294,-73.98009,1,199,5,38,1,260,5.293304824724492
26969,115307,41.11,40.71942,-73.95748,1,325,3,324,1,107,5.783825182329737
27006,115560,44.31,40.77823,-73.97637,1,235,6,27,1,199,5.459585514144159
27385,72062,44.31,40.72555,-73.97965,1,225,1,115,4,299,5.41610040220442
27531,118971,41.11,40.66831,-73.98604,2,99,2,354,3,20,4.59511985013459
27644,119510,44.31,40.82754,-73.94919,1,170,2,195,1,318,5.135798437050262
27659,119588,41.11,40.66499,-73.97925,1,400,2,16,2,216,5.991464547107982
27759,119900,44.31,40.77842,-73.97556,1,170,7,13,1,224,5.135798437050262
27883,120223,44.31,40.72245,-73.98527,1,100,4,25,1,0,4.605170185988092
28321,65091,41.11,40.65593,-73.96053,2,75,2,9,1,324,4.31748811353631
28396,6197784,41.11,40.71923,-73.96468,2,90,1,9,1,245,4.499809670330265
28907,124352,44.31,40.778,-73.94822,1,150,5,21,1,189,5.0106352940962555
29012,124797,44.31,40.85879,-73.93128,2,85,15,36,1,307,4.442651256490317
29013,35935,41.11,40.68332,-73.9547,2,70,3,63,2,310,4.248495242049359
29455,126607,44.31,40.81618,-73.94894,1,120,3,155,3,213,4.787491742782046
29628,127608,41.11,40.68414,-73.96351,2,89,3,260,1,278,4.48863636973214
29683,125857,44.31,40.72392,-73.99143,1,185,5,73,1,209,5.220355825078324
30031,129352,41.11,40.73494,-73.9503,2,50,3,193,1,0,3.912023005428146
30927,120335,44.31,40.71341,-73.98856,1,105,3,32,1,16,4.653960350157523
31130,117287,44.31,40.76754,-73.98399,2,130,2,50,3,234,4.867534450455582
31555,135619,44.31,40.73442,-74.00303,1,115,29,26,1,12,4.74493212836325
31902,137292,41.11,40.63188,-73.93248,2,77,2,2,1,178,4.343805421853684
31994,137814,41.11,40.6873,-73.9634,2,76,2,426,3,275,4.330733340286331
32023,137974,41.11,40.68296,-73.93662,1,125,3,227,2,163,4.8283137373023015
32037,116599,41.11,40.6863,-73.96765,2,135,4,84,3,365,4.90527477843843
32100,138579,41.11,40.73409,-73.95348,1,250,29,3,1,34,5.521460917862246
32289,139612,41.11,40.71561,-73.94835,1,199,3,10,1,280,5.293304824724492
32331,139874,41.11,40.6857,-73.99183,1,140,2,4,1,0,4.941642422609304
32363,140025,11.59,40.74028,-73.83168,2,140,2,1,1,1,4.941642422609304
32965,137974,41.11,40.68281,-73.93524,1,115,3,124,2,170,4.74493212836325
32969,142833,41.11,40.71596,-73.93938,1,160,3,11,1,188,5.075173815233827
33009,143027,41.11,40.71492,-73.95935,1,195,4,240,1,214,5.272999558563747
33014,143048,44.31,40.72354,-73.98295,1,195,3,30,1,248,5.272999558563747
33223,72014,41.11,40.71165,-73.96087,2,80,3,200,4,262,4.382026634673881
34760,149929,41.11,40.69101,-73.97312,2,44,8,27,5,280,3.784189633918261
35526,120291,44.31,40.73474,-74.00101,2,156,4,79,1,307,5.049856007249537
36121,62165,41.11,40.67386,-73.96641,2,85,15,9,1,339,4.442651256490317
36133,142684,41.11,40.71536,-73.96057,2,125,3,155,1,1,4.8283137373023015
36442,137432,41.11,40.6741,-73.96595,1,115,15,4,1,269,4.74493212836325
36647,157798,44.31,40.79295,-73.93997,2,69,2,34,1,10,4.23410650459726
36703,158284,44.31,40.73226,-74.00401,1,225,45,134,1,312,5.41610040220442
36934,159370,41.11,40.71363,-73.96398,1,125,6,27,1,189,4.8283137373023015
38638,92788,44.31,40.77711,-73.9527,1,219,4,126,2,290,5.389071729816501
38663,165789,41.11,40.68559,-73.98094,1,475,3,23,1,230,6.163314804034641
39267,168417,44.31,40.77456,-73.95323,1,99,1,234,2,164,4.59511985013459
39282,168525,41.11,40.71088,-73.95055,2,69,4,202,2,53,4.23410650459726
39593,110506,11.59,40.74559,-73.92313,2,79,30,28,1,126,4.3694478524670215
39704,170510,41.11,40.68306,-73.94659,1,135,2,309,2,3,4.90527477843843
40039,171851,41.11,40.70207,-73.98571,2,250,3,14,1,189,5.521460917862246
40453,174025,44.31,40.76123,-73.9642,1,250,3,4,1,365,5.521460917862246
41348,180083,41.11,40.66858,-73.99083,1,250,2,80,1,0,5.521460917862246
41513,181167,44.31,40.82704,-73.94907,1,80,3,2,1,0,4.382026634673881
42580,137814,41.11,40.68843,-73.96408,2,70,2,294,3,336,4.248495242049359
42729,11481,41.11,40.6783,-74.00135,1,165,2,150,3,342,5.10594547390058
42882,185978,0.76,40.64524,-74.08088,2,70,2,166,1,312,4.248495242049359
43957,177536,41.11,40.70641,-73.91765,2,50,2,47,1,37,3.912023005428146
44096,190409,2.23,40.83232,-73.93184,2,40,1,219,3,353,3.6888794541139363
44161,193360,41.11,40.71045,-73.9677,1,150,2,193,1,177,5.0106352940962555
44212,72062,44.31,40.72518,-73.98034,2,125,1,84,4,310,4.8283137373023015
44221,193722,44.31,40.70666,-74.01374,1,196,3,114,1,0,5.278114659230517
44229,181376,41.11,40.69098,-73.97113,2,110,2,213,2,321,4.700480365792417
44288,193637,44.31,40.73756,-74.00405,1,170,3,86,1,246,5.135798437050262
44506,126607,44.31,40.81526,-73.94791,1,165,3,80,3,231,5.10594547390058
45393,201297,44.31,40.73423,-74.0046,1,150,26,38,1,225,5.0106352940962555
45542,202249,44.31,40.82374,-73.9373,1,100,2,18,1,0,4.605170185988092
45556,67778,41.11,40.68863,-73.97691,2,65,2,206,2,0,4.174387269895637
45910,204539,11.59,40.70382,-73.89797,1,350,8,10,5,365,5.857933154483459
45936,867225,44.31,40.80549,-73.95924,2,99,4,122,2,233,4.59511985013459
45940,204724,41.11,40.71627,-73.9587,1,200,4,33,1,1,5.298317366548036
46544,8198,41.11,40.67994,-73.97863,1,150,5,52,1,18,5.0106352940962555
46723,209460,41.11,40.67992,-73.9475,2,90,3,126,4,343,4.499809670330265
46911,210746,41.11,40.67868,-73.97307,2,120,3,51,3,250,4.787491742782046
47199,212722,44.31,40.76834,-73.95334,2,75,3,199,1,326,4.31748811353631
47362,214148,41.11,40.68237,-73.9415,1,175,26,30,1,364,5.1647859739235145
47370,214287,44.31,40.74031,-73.99999,1,125,3,3,1,0,4.8283137373023015
47926,218404,44.31,40.76307,-73.99665,1,275,1,41,1,299,5.616771097666572
48719,221873,44.31,40.71882,-73.98852,1,299,2,109,1,207,5.700443573390687
50447,9744,41.11,40.6693,-73.98804,1,135,5,151,3,162,4.90527477843843
51438,236421,44.31,40.77333,-73.95199,2,130,14,0,2,0,4.867534450455582
51485,236655,44.31,40.72319,-73.99201,2,83,1,285,1,7,4.418840607796598
51572,237329,44.31,40.74859,-73.99671,2,123,1,375,1,328,4.812184355372417
51850,27848,11.59,40.67252,-73.76597,2,55,2,52,2,365,4.007333185232471
53137,240360,44.31,40.76244,-73.99271,1,195,5,10,1,0,5.272999558563747
53196,247432,41.11,40.69546,-73.93503,2,80,2,11,1,0,4.382026634673881
53469,204539,11.59,40.71722,-73.87856,1,98,30,33,5,240,4.584967478670572
53470,204539,11.59,40.70234,-73.89816,2,140,7,6,5,365,4.941642422609304
53477,204539,11.59,40.71546,-73.87854,1,265,7,38,5,365,5.579729825986222
54158,10889,41.11,40.7195,-73.95976,1,249,2,358,2,164,5.517452896464707
54453,255583,44.31,40.76548,-73.98474,3,105,6,10,1,363,4.653960350157523
54466,253385,44.31,40.80234,-73.95603,2,200,30,0,1,365,5.298317366548036
54508,210746,41.11,40.6787,-73.97262,2,100,2,226,3,250,4.605170185988092
54544,256161,44.31,40.81035,-73.94598,1,121,1,104,5,247,4.795790545596741
54626,190409,2.23,40.83075,-73.93058,2,45,1,138,3,323,3.8066624897703196
54860,258164,44.31,40.79958,-73.94275,2,100,5,204,1,192,4.605170185988092
55467,260709,41.11,40.71625,-73.93845,1,140,2,253,1,125,4.941642422609304
55498,262138,41.11,40.6829,-73.93549,2,71,2,23,1,91,4.2626798770413155
55668,88209,44.31,40.72773,-73.99134,2,130,2,115,1,75,4.867534450455582
55737,263414,44.31,40.72861,-74.0049,1,199,5,129,1,286,5.293304824724492
55959,168525,41.11,40.70979,-73.95162,2,69,4,82,2,60,4.23410650459726
55982,264928,41.11,40.68656,-73.97525,2,68,3,37,1,0,4.219507705176107
56467,267593,44.31,40.72752,-73.98432,1,130,1,204,1,192,4.867534450455582
56525,268014,41.11,40.729,-73.95829,1,195,2,69,1,58,5.272999558563747
56859,256161,44.31,40.81219,-73.94499,2,64,1,192,5,245,4.1588830833596715
57166,272006,11.59,40.77185,-73.90502,1,140,2,17,1,292,4.941642422609304
57297,199392,41.11,40.68926,-73.99386,1,159,2,222,1,279,5.0689042022202315
57468,239208,44.31,40.72821,-73.98701,1,189,3,205,1,0,5.241747015059643
57618,274557,44.31,40.7672,-73.98508,1,250,3,94,1,3,5.521460917862246
57740,275459,44.31,40.73012,-73.99053,1,239,3,7,1,351,5.476463551931511
57754,275578,44.31,40.7403,-73.98498,1,305,2,108,1,201,5.720311776607412
57874,276291,44.31,40.80931,-73.94343,1,155,3,222,2,232,5.043425116919247
58059,277379,44.31,40.8251,-73.94287,2,60,1,458,2,258,4.0943445622221
58062,277394,41.11,40.6585,-73.98397,2,135,2,21,1,272,4.90527477843843
58467,279797,44.31,40.76193,-73.9501,2,120,7,17,1,341,4.787491742782046
59014,282927,44.31,40.72052,-73.98589,1,150,3,41,1,244,5.0106352940962555
59121,204539,11.59,40.70411,-73.89934,1,140,14,1,5,365,4.941642422609304
59642,274782,41.11,40.73401,-73.95967,1,135,2,69,1,12,4.90527477843843
59709,186084,44.31,40.71756,-73.99503,1,250,4,18,2,265,5.521460917862246
59855,288031,44.31,40.7589,-73.96991,1,250,30,82,1,0,5.521460917862246
60164,289653,44.31,40.72003,-74.00262,1,500,4,94,1,329,6.214608098422191
60457,99212,44.31,40.73194,-73.99474,1,225,5,10,1,91,5.41610040220442
60611,292204,44.31,40.79163,-73.94573,1,125,28,183,2,365,4.8283137373023015
60666,256161,44.31,40.8118,-73.94434,2,92,1,189,5,253,4.5217885770490405
60673,249372,44.31,40.81583,-73.94707,2,175,2,1,1,365,5.1647859739235145
60680,292630,44.31,40.72654,-73.98049,1,99,2,127,1,320,4.59511985013459
60794,293394,44.31,40.80021,-73.96071,1,195,4,4,1,0,5.272999558563747
60948,126607,44.31,40.80942,-73.93936,1,140,3,135,3,192,4.941642422609304
61167,295760,44.31,40.71961,-73.9954,1,135,2,21,1,0,4.90527477843843
61224,291112,44.31,40.74358,-74.00027,1,500,2,35,1,348,6.214608098422191
61406,297176,44.31,40.80335,-73.9575,2,80,14,10,2,0,4.382026634673881
61492,297769,44.31,40.71445,-73.9908,2,120,4,171,2,353,4.787491742782046
61509,23619,44.31,40.75749,-73.96897,1,110,200,92,1,140,4.700480365792417
62095,281764,41.11,40.64446,-73.9503,1,65,3,238,1,2,4.174387269895637
62427,303882,44.31,40.7268,-73.99079,1,130,50,56,1,56,4.867534450455582
62430,197755,41.11,40.688,-73.9171,1,99,3,111,1,68,4.59511985013459
62452,303939,0.76,40.63536,-74.08537,2,36,2,193,6,360,3.58351893845611
62461,303939,0.76,40.63627,-74.08543,2,37,2,147,6,0,3.6109179126442243
62787,303939,0.76,40.63518,-74.08546,2,37,2,177,6,320,3.6109179126442243
62891,306545,44.31,40.72477,-73.98161,1,175,3,185,2,326,5.1647859739235145
62903,306605,44.31,40.74238,-73.99567,1,205,9,62,2,76,5.3230099791384085
62925,306739,41.11,40.72945,-73.95511,1,285,3,124,3,279,5.652489180268651
63299,308875,41.11,40.70763,-73.95177,2,59,2,181,2,15,4.07753744390572
63320,303939,0.76,40.63481,-74.08519,2,36,2,333,6,340,3.58351893845611
63360,307962,11.59,40.75384,-73.91433,1,99,5,441,1,226,4.59511985013459
63546,308652,41.11,40.64106,-73.97426,2,39,1,45,2,365,3.6635616461296463
63573,310458,41.11,40.66793,-73.98327,2,60,14,9,2,0,4.0943445622221
63588,295128,2.23,40.81309,-73.85514,2,90,2,0,7,349,4.499809670330265
63610,310670,2.23,40.88057,-73.83572,1,105,2,38,13,365,4.653960350157523
63657,170510,41.11,40.68236,-73.94314,1,135,2,248,2,11,4.90527477843843
63693,306545,44.31,40.72185,-73.98246,1,390,5,143,2,316,5.966146739123692
63719,311286,41.11,40.68503,-73.95385,2,70,3,36,4,281,4.248495242049359
63913,312288,44.31,40.86648,-73.9263,2,75,7,0,2,323,4.31748811353631
64000,312722,41.11,40.7069,-73.95467,2,60,17,14,4,362,4.0943445622221
64015,146944,44.31,40.72807,-73.98594,1,200,3,0,1,0,5.298317366548036
64107,313317,41.11,40.6778,-73.94339,2,100,3,279,1,301,4.605170185988092
64277,311286,41.11,40.68317,-73.94701,2,70,4,18,4,189,4.248495242049359
64314,314256,41.11,40.6761,-73.9529,2,110,6,50,1,0,4.700480365792417
64365,314582,41.11,40.67586,-73.95155,2,60,2,227,2,287,4.0943445622221
64707,7310,44.31,40.71702,-73.99811,1,90,14,1,1,14,4.499809670330265
64837,46978,44.31,40.72321,-73.98157,2,68,2,203,2,86,4.219507705176107
65019,317809,44.31,40.77956,-73.98098,1,115,2,210,1,261,4.74493212836325
65268,319092,41.11,40.68276,-73.95264,2,75,5,64,1,68,4.31748811353631
65556,320422,41.11,40.71368,-73.9626,2,60,3,0,1,0,4.0943445622221
65562,320450,44.31,40.72956,-73.98158,1,129,7,5,1,231,4.859812404361672
65615,320761,41.11,40.71069,-73.95175,1,130,10,49,1,152,4.867534450455582
65660,320538,41.11,40.70863,-73.94641,1,95,4,132,1,46,4.553876891600541
65813,321756,44.31,40.82888,-73.94307,2,75,3,20,1,364,4.31748811353631
65834,321934,41.11,40.67319,-73.97323,1,175,2,11,1,246,5.1647859739235145
66008,322884,41.11,40.67846,-73.99443,1,190,3,51,1,288,5.247024072160486
66026,322716,41.11,40.6715,-73.94808,2,49,21,15,5,331,3.8918202981106265
66251,324460,44.31,40.72681,-73.98534,1,212,3,67,1,51,5.356586274672012
66275,314941,44.31,40.71904,-73.99392,2,95,1,109,3,364,4.553876891600541
66451,325389,41.11,40.71031,-73.9583,1,140,2,9,1,254,4.941642422609304
66718,136227,44.31,40.81322,-73.95306,1,135,6,187,1,189,4.90527477843843
66741,327673,41.11,40.67732,-73.98225,1,150,2,214,2,263,5.0106352940962555
66974,329436,41.11,40.68076,-73.9896,1,190,3,69,2,258,5.247024072160486
67288,101597,44.31,40.79603,-73.94903,1,124,28,22,1,103,4.820281565605037
67299,330347,41.11,40.71492,-73.96282,1,135,30,56,1,42,4.90527477843843
67397,332189,44.31,40.80393,-73.95838,2,122,3,93,1,246,4.804021044733257
68099,323517,44.31,40.80082,-73.9652,2,109,1,104,2,364,4.6913478822291435
68305,338454,44.31,40.82976,-73.94867,2,85,30,64,1,318,4.442651256490317
68403,240427,41.11,40.683,-73.91981,1,145,3,127,2,72,4.976733742420574
68735,342054,44.31,40.78971,-73.9729,1,195,11,30,1,249,5.272999558563747
68765,282655,41.11,40.67817,-73.99495,1,250,2,106,3,272,5.521460917862246
68900,343250,41.11,40.73119,-73.95578,2,125,3,6,1,325,4.8283137373023015
68974,281229,44.31,40.71943,-73.99627,1,575,2,191,1,298,6.354370040797351
69894,352168,44.31,40.78,-73.98249,1,150,30,48,1,35,5.0106352940962555
69921,155689,41.11,40.70514,-73.91922,2,70,5,47,1,203,4.248495242049359
70095,353965,44.31,40.86713,-73.92811,2,90,2,120,1,132,4.499809670330265
70128,354330,44.31,40.73198,-73.98881,2,65,3,52,1,5,4.174387269895637
70609,72062,44.31,40.72542,-73.97986,1,500,2,48,4,297,6.214608098422191
71010,361855,44.31,40.83494,-73.93869,1,250,3,32,2,276,5.521460917862246
71248,363834,44.31,40.71659,-73.98945,1,125,25,43,1,102,4.8283137373023015
71366,364955,44.31,40.72966,-74.00243,1,200,30,39,1,251,5.298317366548036
71384,365153,41.11,40.72898,-73.95552,1,229,1,50,1,188,5.43372200355424
71812,369015,2.23,40.87207,-73.90193,1,90,30,4,2,346,4.499809670330265
72190,373085,44.31,40.77728,-73.97818,1,110,13,38,1,0,4.700480365792417
72265,340692,41.11,40.72646,-73.95341,2,59,3,29,1,15,4.07753744390572
74073,211877,41.11,40.71015,-73.96101,1,195,4,59,1,71,5.272999558563747
74240,389924,41.11,40.71903,-73.9597,1,169,1,68,2,215,5.1298987149230735
74333,331328,44.31,40.80892,-73.93985,1,113,14,26,3,253,4.727387818712341
74404,391325,44.31,40.80276,-73.9567,1,250,14,31,1,78,5.521460917862246
74680,265109,11.59,40.77635,-73.93426,1,115,2,198,1,257,4.74493212836325
74860,394752,41.11,40.72488,-73.95018,2,55,2,1,1,0,4.007333185232471
75193,308875,41.11,40.71398,-73.95763,2,69,2,220,2,8,4.23410650459726
75635,401696,44.31,40.71876,-73.98394,1,150,3,286,1,191,5.0106352940962555
76761,118971,41.11,40.66552,-73.99019,1,169,2,398,3,182,5.1298987149230735
77765,417504,41.11,40.73749,-73.95292,2,179,3,36,28,79,5.187385805840755
77936,134355,44.31,40.76248,-73.9913,2,150,3,36,1,49,5.0106352940962555
78919,422561,41.11,40.68674,-73.98876,1,135,4,6,1,0,4.90527477843843
79067,425506,41.11,40.6848,-73.96219,1,350,6,14,1,156,5.857933154483459
79782,430188,41.11,40.70516,-73.95455,2,120,14,76,6,343,4.787491742782046
80493,434987,44.31,40.72329,-73.98486,2,71,2,182,1,200,4.2626798770413155
80684,417504,41.11,40.73776,-73.95327,2,349,3,8,28,60,5.855071922202427
80700,417504,41.11,40.73738,-73.95482,2,349,3,7,28,60,5.855071922202427
80924,438133,41.11,40.67542,-73.98142,1,165,30,34,2,189,5.10594547390058
81739,417504,41.11,40.73842,-73.95312,2,249,3,2,28,60,5.517452896464707
82549,448312,41.11,40.6926,-73.99832,2,100,3,66,2,0,4.605170185988092
82550,448312,41.11,40.69441,-73.99771,1,200,3,80,2,106,5.298317366548036
82638,449787,44.31,40.72399,-73.98374,1,169,4,240,1,276,5.1298987149230735
82928,451545,41.11,40.6824,-73.94615,1,185,3,46,1,248,5.220355825078324
83243,453519,41.11,40.68949,-73.91708,1,65,2,228,1,194,4.174387269895637
83446,454756,41.11,40.68819,-73.97258,1,130,35,5,1,135,4.867534450455582
